Term,Definition
Active Management,An investment strategy where a manager makes specific investments with the goal of outperforming a benchmark index.
Alpha,The excess return on an investment relative to the return of a benchmark index.
Alternative Investment,"An asset that does not fall into one of the conventional investment categories, such as stocks, bonds, or cash."
Annuity,"A financial product that provides a stream of payments to an individual, typically after retirement."
Asset Class,A group of securities with similar characteristics and behavior in the marketplace.
Balanced Fund,A mutual fund that invests in a mix of equities and fixed-income securities.
Beta Coefficient,A measure of an asset’s risk in relation to the overall market.
Blue Ocean Strategy,An investment strategy targeting untapped markets rather than competing in existing industries.
Buy and Hold,An investment strategy where securities are purchased and held for a long period regardless of fluctuations.
Capital Appreciation,An increase in the value of an asset over time.
Closed-End Fund,An investment fund with a fixed number of shares that are traded on exchanges.
Collectibles,"Items such as art, antiques, and rare coins held as investments."
Commodity,A basic good used in commerce that is interchangeable with other goods of the same type.
Commodity ETF,An exchange-traded fund that invests in commodities or commodity-linked instruments.
Common Stock,A type of equity security representing ownership in a corporation and a claim on part of its profits.
Convertible Security,"A security that can be converted into another form, such as a bond convertible into stock."
Core-Satellite Strategy,A portfolio management approach that combines passive investments (core) with actively managed investments (satellite).
Cryptocurrency,A digital currency secured by cryptography and based on decentralized networks.
Currency Hedging,A strategy used to minimize the risk of currency fluctuations in international investments.
Defensive Stock,A stock that provides consistent dividends and stable earnings regardless of market conditions.
Direct Investment,"An investment made directly into a business or project, rather than through a fund."
Diversified Fund,A fund that invests across a wide range of assets to reduce risk.
Dividend Growth Investing,An investment strategy focused on companies with a history of consistently growing dividends.
Emerging Market Fund,A fund that invests in securities from developing economies.
Equity Fund,A mutual fund or ETF that invests primarily in stocks.
ESG Investing,"Investment strategies that consider environmental, social, and governance factors."
ETF of ETFs,An exchange-traded fund that invests primarily in other ETFs.
Exchange Fund,A fund that allows investors to diversify by pooling their concentrated stock positions.
Factor Investing,An investment approach that targets specific drivers of return across asset classes.
Fixed-Income Fund,A mutual fund or ETF that invests primarily in bonds or other debt securities.
Frontier Market,A type of developing country market that is less advanced than emerging markets but more investable than least developed countries.
Fund of Funds,An investment strategy of holding a portfolio of other investment funds.
Global Fund,"A mutual fund or ETF that invests in securities worldwide, including the investor's home country."
Growth Fund,A mutual fund or ETF that focuses on stocks with above-average growth potential.
Hedge Fund Strategy,"An investment approach used by hedge funds, such as long/short equity, event-driven, or global macro."
High-Yield Bond,A bond with a lower credit rating but offering higher yields to compensate for greater risk.
Index Fund,A type of mutual fund or ETF with a portfolio constructed to match or track a specific index.
Inflation-Protected Securities,Government-issued bonds designed to protect investors from inflation.
